Query,Business Name,Street Address,Latitude,Longitude
"[""Hardee's""]",Hardee's,"2501 Adlai Stevenson Dr, Springfield, IL 62703, United States",39.7585651,-89.6189608
"[""Hardee's""]",Hardee's,"1080 W Eldorado St, Decatur, IL 62522, United States",39.84588710000001,-88.9724225
"[""Hardee's""]",Hardee's,"3808 S Western Ave, Marion, IN 46953, United States",40.5222597,-85.6741436
"[""Hardee's""]",Hardee's,"4950 Beaner Blvd, Gas City, IN 46933, United States",40.4809237,-85.55117469999999
"[""Hardee's""]",Hardee's,"1500 E Morgan St, Kokomo, IN 46901, United States",40.5060666,-86.1123724
"[""Hardee's""]",Hardee's,"227 E McGalliard Rd, Muncie, IN 47303, United States",40.2187194,-85.3843057
"[""Hardee's""]",Hardee's,"2820 Main St, Elwood, IN 46036, United States",40.2773133,-85.8236783
"[""Hardee's""]",Hardee's,"2209 N Jefferson St, Huntington, IN 46750, United States",40.89644699999999,-85.50791
"[""Hardee's""]",Hardee's,"301 N Broadway, Peru, IN 46970, United States",40.7587337,-86.0719975
"[""Hardee's""]",Hardee's,"211 N Main St, Bluffton, IN 46714, United States",40.7411841,-85.17094259999999
"[""Hardee's""]",Hardee's,"5627 S Scatterfield Rd, Anderson, IN 46013, United States",40.0571898,-85.6534248
"[""Hardee's""]",Hardee's,"1875 Campbell Crossing, Tipton, IN 46072, United States",40.2764196,-86.1301615
"[""Hardee's""]",Hardee's,"2101 N Rock Rd, Derby, KS 67037, United States",37.5688955,-97.245063
"[""Hardee's""]",Hardee's,"Kansas Turnpike - Milepost 65, El Dorado, KS 67042, United States",37.766255,-96.981398
"[""Hardee's""]",Hardee's,"2002 Center St, Marysville, KS 66508, United States",39.84244200000001,-96.6331716
"[""Hardee's""]",Hardee's,"2300 NW Topeka Blvd, Topeka, KS 66608, United States",39.0890001,-95.6641803
"[""Hardee's""]",Hardee's,"12424 L St, Omaha, NE 68137, United States",41.21305599999999,-96.107241
"[""Hardee's""]",Hardee's,"815 S Parker St, Olathe, KS 66061, United States",38.8715142,-94.8349686
"[""Hardee's""]",Hardee's,"1100 SW 3rd St, Lee's Summit, MO 64081, United States",38.9117392,-94.39648520000001
"[""Hardee's""]",Hardee's,"6323 Independence Ave, Kansas City, MO 64125, United States",39.1044448,-94.5078372
"[""Hardee's""]",Hardee's,"9407 S 145th St, Omaha, NE 68138, United States",41.16605089999999,-96.1395926
"[""Hardee's""]",Hardee's,"8170 NW Prairie View Rd, Kansas City, MO 64151, United States",39.2426392,-94.65933849999999
"[""Hardee's""]",Hardee's,"811 N 205th St, Elkhorn, NE 68022, United States",41.266054,-96.23627239999999
